id,day_hour,no_get,no_post,no_head,no_of_clients
220,2019-01-15 9,10,3,0,13
221,2019-01-18 6,7,3,0,10
222,2019-01-22 4,1990,368,0,2358
223,2019-01-12 6,3,3,0,6
224,2019-01-31 5,5,2,0,7
225,2019-01-11 3,25,3,0,28
226,2019-01-16 8,6,3,0,9
227,2019-01-17 2,9,3,0,12
228,2019-01-21 4,11,3,0,14
229,2019-01-10 4,11,3,0,14
230,2019-01-23 5,10,2,0,12
231,2019-01-21 3,31,3,0,34
232,2019-01-31 8,5,3,0,8
233,2019-01-28 4,6,3,0,9
234,2019-01-25 7,7,3,0,10
235,2019-01-21 7,8,3,0,11
236,2019-01-14 8,7,3,0,10
237,2019-01-12 3,29,3,0,32
238,2019-01-26 6,6,3,0,9
239,2019-01-20 8,9,3,0,12
240,2019-01-25 10,9,3,0,12
241,2019-01-18 2,7,3,0,10
242,2019-01-26 7,10,3,0,13
243,2019-01-16 3,25,3,0,28
244,2019-01-18 8,9,3,0,12
245,2019-01-20 6,3,3,0,6
246,2019-01-24 4,9,3,0,12
247,2019-01-21 5,11,3,0,14
248,2019-01-28 7,5,3,0,8
249,2019-01-22 7,2004,382,0,2386
250,2019-01-15 5,7,3,0,10
251,2019-01-11 4,5,3,0,8
252,2019-01-26 1,7,3,0,10
253,2019-01-11 2,5,3,0,8
254,2019-01-30 3,26,2,0,28
255,2019-01-19 5,5,3,0,8
256,2019-01-22 11,1962,386,0,2348
257,2019-01-21 10,6,3,0,9
258,2019-01-26 9,9,3,0,12
259,2019-01-24 6,8,3,0,11
260,2019-01-17 10,12,3,0,15
261,2019-01-23 4,9,3,0,12
262,2019-01-23 9,7,3,0,10
263,2019-01-30 8,8,3,0,11
264,2019-01-24 11,10,3,0,13
